"","treatment","cohort","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","mech_vent","all","0","24","4.73978142651181","4.54092579497963","4.93863705804399","1.96587030784386e-297","59361"
"2","mech_vent","all","0","3","4.73325984399607","4.33770203133487","5.12881765665727","2.12668512900986e-76","22082"
"3","mech_vent","all","4","6","4.74062778645976","4.45293127110959","5.02832430180992","2.97310559495609e-143","21047"
"4","mech_vent","all","7","10","4.77248962296918","4.35943729422857","5.18554195170979","1.15672832226501e-71","12231"
"5","mech_vent","all","11","24","4.56945461807209","3.83195118299244","5.30695805315173","2.39529184467705e-21","4001"
"6","rrt","all","0","24","6.49832418013042","6.00619096257583","6.99045739768501","2.71651672959662e-106","59361"
"7","rrt","all","0","3","8.13402704105604","7.39080750133959","8.8772465807725","5.83458982608574e-79","22082"
"8","rrt","all","4","6","6.46133247468611","5.48305459415138","7.43961035522084","7.26667704008649e-28","21047"
"9","rrt","all","7","10","5.96422952213885","5.27387570966115","6.65458333461654","4.13096612893121e-45","12231"
"10","rrt","all","11","24","5.71911088692543","4.88586828254581","6.55235349130505","1.24663996190417e-28","4001"
"11","vasopressor","all","0","24","2.35967967420963","2.12894283552808","2.59041651289117","7.39632413069299e-31","59361"
"12","vasopressor","all","0","3","2.86738192545037","2.52706723559803","3.20769661530272","5.61625014409722e-27","22082"
"13","vasopressor","all","4","6","2.0058204096005","1.72527131707178","2.28636950212922","2.11077795054291e-12","21047"
"14","vasopressor","all","7","10","2.00884320918602","1.29530343779617","2.72238298057586","0.00558570164132897","12231"
"15","vasopressor","all","11","24","2.88141112498649","1.86736357542144","3.89545867455154","0.000276386794888039","4001"
"16","mech_vent","cancer","0","24","4.7673847663235","4.30609253409333","5.22867699855367","1.13512463444485e-57","6783"
"17","mech_vent","cancer","0","3","4.5674781913095","3.60048282712935","5.53447355548965","4.79765289691711e-13","2160"
"18","mech_vent","cancer","4","6","4.47394460859721","3.76484202807146","5.18304718912297","7.8270264726095e-22","2428"
"19","mech_vent","cancer","7","10","5.05187012530792","4.21216292188017","5.89157732873566","3.14910577018096e-21","1555"
"20","mech_vent","cancer","11","24","5.22155251144799","3.67562618470701","6.76747883818897","8.68490268892015e-08","640"
"21","rrt","cancer","0","24","6.27894499295837","5.16684010842419","7.39104987749255","1.35593280204624e-20","6783"
"22","rrt","cancer","0","3","8.15205638484526","7.08797545148796","9.21613731820257","1.24122749402533e-39","2160"
"23","rrt","cancer","4","6","6.54531076874814","4.13342004587862","8.95720149161766","6.59541564434712e-06","2428"
"24","rrt","cancer","7","10","5.5807599592079","3.71636222458214","7.44515769383366","1.4672048600819e-06","1555"
"25","rrt","cancer","11","24","4.13361049998902","2.7259379471358","5.54128305284224","1.28207106625397e-05","640"
"26","vasopressor","cancer","0","24","2.53343903888177","2.10803325465519","2.95884482310836","1.60483768698025e-12","6783"
"27","vasopressor","cancer","0","3","3.47622753224675","2.71719634257895","4.23525872191455","1.61377927528391e-10","2160"
"28","vasopressor","cancer","4","6","2.0636558096387","1.47060651019471","2.65670510908269","0.000439203969168953","2428"
"29","vasopressor","cancer","7","10","2.21918244732283","1.36599841852271","3.07236647612296","0.00509761439225895","1555"
"30","vasopressor","cancer","11","24","2.35975809820369","0.554360071162221","4.16515612524517","0.139890610171865","640"
